address,size,type,symbol
0x10001000,0x34,library,??1shared_count@detail@boost@@QAE@XZ
0x10001040,0x22,library,??0thread_exception@boost@@QAE@ABV01@@Z
0x10001070,0x59,library,??0Http@RBX@@QAE@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z
0x10001100,0x250,library,?Upload@ErrorUploader@@QAEXV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@_N@Z
0x10001720,0x16,library,??1?$scoped_lock@Vrecursive_mutex@boost@@@thread@detail@boost@@QAE@XZ
0x10001740,0x5,library,??1?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@std@@QAE@XZ
0x10001750,0x21,library,?size@?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@std@@QBEIXZ
0x10001780,0x47,library,?_Tidy@?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@std@@IAEXXZ
0x100017d0,0x28,library,??0lock_error@boost@@QAE@ABV01@@Z
0x10001800,0x154,library,?_Growmap@?$deque@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@std@@IAEXI@Z
0x10001960,0x24,library,?_Destroy@?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@std@@IAEXPAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@2@0@Z
0x10001990,0x19,library,??0length_error@std@@QAE@ABV01@@Z
0x100019b0,0x66,library,?_Xlen@?$deque@UStandardOutMessage@RBX@@V?$allocator@UStandardOutMessage@RBX@@@std@@@std@@KAXXZ
0x10001a20,0x62,library,??$_Allocate@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@std@@YAPAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@0@IPAV10@@Z
0x10001a90,0xe,library,?what@logic_error@std@@UBEPBDXZ
0x10001aa0,0xc,library,??1bad_alloc@std@@UAE@XZ
0x10001ab0,0x25,library,??_Ebad_alloc@std@@UAEPAXI@Z
0x10001ae0,0x1a,library,??0bad_alloc@std@@QAE@ABV01@@Z
0x10001b00,0x30,library,??_Elength_error@std@@UAEPAXI@Z
0x10001b30,0x1b,library,??1length_error@std@@UAE@XZ
0x10001b50,0x5f,library,??0logic_error@std@@QAE@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@1@@Z
0x10001bb0,0x65,library,??0logic_error@std@@QAE@ABV01@@Z
0x10001c20,0x75,library,??0bad_function_call@boost@@QAE@XZ
0x10001ca0,0x1b,library,??1bad_function_call@boost@@UAE@XZ
0x10001cd0,0xb0,library,??0tss@detail@boost@@QAE@PAV?$function1@XPAXV?$allocator@Vfunction_base@boost@@@std@@@2@@Z
0x10001d80,0x28,library,??0thread_resource_error@boost@@QAE@ABV01@@Z
0x10001db0,0x1e,library,??_Elock_error@boost@@UAEPAXI@Z
